date,December temp
12/15/2013,68
12/16/2013,64
12/17/2013,72
12/18/2013,72
12/19/2013,68
12/20/2013,70
12/21/2013,69
12/23/2013,68
12/24/2013,70
12/25/2013,67
12/26/2013,70
12/27/2013,70
12/28/2013,71
12/29/2013,70
12/30/2013,69
12/31/2013,71
12/1/2014,68
12/2/2014,70
12/3/2014,67
12/4/2014,70
12/5/2014,73
12/6/2014,70
12/7/2014,66
12/9/2014,70
12/10/2014,72
12/11/2014,71
12/12/2014,68
12/13/2014,71
12/14/2014,67
12/15/2014,65
12/16/2014,66
12/17/2014,70
12/18/2014,69
12/19/2014,70
12/21/2014,72
12/22/2014,67
12/23/2014,68
12/24/2014,64
12/25/2014,66
12/26/2014,65
12/27/2014,62
12/28/2014,68
12/29/2014,67
12/1/2015,73
12/2/2015,70
12/3/2015,71
12/4/2015,71
12/5/2015,70
12/6/2015,71
12/7/2015,69
12/8/2015,70
12/9/2015,73
12/10/2015,70
12/11/2015,72
12/12/2015,71
12/13/2015,69
12/15/2015,74
12/16/2015,73
12/17/2015,69
12/18/2015,71
12/19/2015,68
12/20/2015,72
12/22/2015,71
12/23/2015,70
12/24/2015,72
12/25/2015,71
12/26/2015,69
12/27/2015,71
12/29/2015,67
12/30/2015,71
12/31/2015,69
12/1/2016,71
12/2/2016,71
12/3/2016,67
12/4/2016,76
12/5/2016,67
12/6/2016,67
12/7/2016,68
12/8/2016,71
12/9/2016,68
12/10/2016,68
12/11/2016,69
12/12/2016,65
12/13/2016,70
12/14/2016,69
12/15/2016,64
12/16/2016,60
12/18/2016,67
12/19/2016,72
12/20/2016,73
12/21/2016,70
12/22/2016,68
12/23/2016,69
12/24/2016,69
12/25/2016,69
12/26/2016,71
12/27/2016,71
12/28/2016,71
12/29/2016,69
12/30/2016,65
12/31/2016,65
